SEF	1.0.0
ID	Brunswick_Cleaveland
Name	Brunswick, ME
Lat	43.9083
Lon	-69.9567
Alt	25
Source	C3S-DRS
Link	
Vbl	dd
Stat	point
Units	degree
Meta	
Year	Month	Day	Hour	Minute	Period	Value	Meta
1816	1	1	12	9	0	225	orig=SW|orig.time=7:30AM
1816	1	1	17	39	0	270	orig=W|orig.time=1:00PM
1816	1	1	21	15	0	270	orig=W|orig.time=sunset
1816	1	2	12	9	0	315	orig=NW|orig.time=7:30AM
1816	1	2	17	39	0	315	orig=NW|orig.time=1:00PM
1816	1	2	21	15	0	315	orig=NW|orig.time=sunset
1816	1	3	12	9	0	270	orig=W|orig.time=7:30AM
1816	1	3	17	39	0	315	orig=NW|orig.time=1:00PM
1816	1	3	21	16	0	315	orig=NW|orig.time=sunset
1816	1	4	12	9	0	315	orig=NW|orig.time=7:30AM
1816	1	4	17	39	0	90	orig=E|orig.time=1:00PM
1816	1	4	21	17	0	90	orig=E|orig.time=sunset
1816	1	5	12	9	0	0	orig=N|orig.time=7:30AM
1816	1	5	17	39	0	45	orig=NE|orig.time=1:00PM
1816	1	5	21	19	0	45	orig=NE|orig.time=sunset
1816	1	6	12	9	0	45	orig=NE|orig.time=7:30AM
1816	1	6	17	39	0	0	orig=N|orig.time=1:00PM
1816	1	6	21	20	0	0	orig=N|orig.time=sunset
1816	1	7	12	9	0	315	orig=NW|orig.time=7:30AM
1816	1	7	17	39	0	315	orig=NW|orig.time=1:00PM
1816	1	7	21	21	0	315	orig=NW|orig.time=sunset
1816	1	8	12	9	0	45	orig=NE|orig.time=7:30AM
1816	1	8	17	39	0	0	orig=N|orig.time=1:00PM
1816	1	8	21	22	0	45	orig=NE|orig.time=sunset
1816	1	9	12	9	0	270	orig=W|orig.time=7:30AM
1816	1	9	17	39	0	270	orig=W|orig.time=1:00PM
1816	1	9	21	23	0	225	orig=SW|orig.time=sunset
1816	1	10	12	9	0	270	orig=W|orig.time=7:30AM
1816	1	10	17	39	0	225	orig=SW|orig.time=1:00PM
1816	1	10	21	24	0	315	orig=NW|orig.time=sunset
1816	1	11	12	9	0	270	orig=W|orig.time=7:30AM
1816	1	11	17	39	0	45	orig=NE|orig.time=1:00PM
1816	1	11	21	25	0	225	orig=SW|orig.time=sunset
1816	1	12	12	9	0	45	orig=NE|orig.time=7:30AM
1816	1	12	17	39	0	45	orig=NE|orig.time=1:00PM
1816	1	12	21	26	0	0	orig=N|orig.time=sunset
1816	1	13	12	9	0	225	orig=SW|orig.time=7:30AM
1816	1	13	17	39	0	315	orig=NW|orig.time=1:00PM
1816	1	13	21	28	0	225	orig=SW|orig.time=sunset
1816	1	14	12	9	0	225	orig=SW|orig.time=7:30AM
1816	1	14	17	39	0	270	orig=W|orig.time=1:00PM
1816	1	14	21	29	0	45	orig=NE|orig.time=sunset
1816	1	15	12	9	0	45	orig=NE|orig.time=7:30AM
1816	1	15	17	39	0	225	orig=SW|orig.time=1:00PM
1816	1	15	21	30	0	225	orig=SW|orig.time=sunset
